quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
144,002230,科大讯飞,I 信息技术,2026-07-07,39.95,0.1712,0.012,2.1217,41.45,46.05,50.09,50.33,-3.2153,-0.9989,NONE,1.64,-12.1768,-25.0361,2035584888.4,54.8787,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
146,000779,甘咨询,M 科研服务,2026-07-07,8.74,0.3048,0.364,19.726,7.88,8.15,8.63,8.89,2.8941,-0.3893,WEAK,0.3,13.4981,-10.9858,88906781.35,54.8252,SECONDARY_RESEARCH,,,
147,000739,普洛药业,C 制造业,2026-07-07,18.03,0.5736,0.824,29.2473,16.69,17.19,17.55,16.65,2.6852,-0.0572,MEDIUM,0.79,11.0287,-8.8634,193720429.5,54.6796,SECONDARY_RESEARCH,,,
148,000597,东北制药,C 制造业,2026-07-07,4.44,0.0792,0.06,5.7143,4.43,4.77,5.02,5.33,0.0226,-1.6813,WEAK,0.18,-1.3554,-26.6537,51352235.15,54.559,SECONDARY_RESEARCH,,,
149,002027,分众传媒,L 商务服务,2026-07-07,4.96,0.0112,0.04,4.2017,5.05,5.64,6.35,7.05,-2.4077,-2.1785,NONE,0.17,-8.9635,-31.8784,925025489.2,54.5158,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
150,002459,晶澳科技,C 制造业,2026-07-07,7.86,0.0008,0.004,0.0,8.39,9.63,10.78,11.57,-0.3621,-1.9844,NONE,0.49,-4.9641,-36.3777,643161111.4,54.4658,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
151,002439,启明星辰,I 信息技术,2026-07-07,12.55,0.004,0.008,1.2914,12.96,14.39,14.32,14.94,-2.145,-0.0046,NONE,0.55,-8.9286,-13.2016,354180451.35,54.4148,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
152,002568,百润股份,C 制造业,2026-07-07,16.52,0.0304,0.024,15.5245,17.36,17.8,18.78,21.89,-2.7724,-0.1085,NONE,1.01,-14.8529,-13.1506,391906942.3,54.3531,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
153,002555,三七互娱,I 信息技术,2026-07-07,19.43,0.4288,0.276,18.8379,18.46,20.17,22.51,21.18,0.0651,-1.2067,WEAK,0.89,1.0674,-23.7224,876907010.65,54.2345,SECONDARY_RESEARCH,,,
154,002889,东方嘉盛,L 商务服务,2026-07-07,11.84,0.0216,0.108,15.1751,11.07,12.32,13.46,14.62,-0.1489,-1.142,WEAK,0.49,1.8684,-20.3919,36097278.9,54.1913,SECONDARY_RESEARCH,,falling_knife,falling_knife
155,002084,海鸥住工,C 制造业,2026-07-07,3.72,0.3488,0.396,18.4713,3.46,3.58,3.79,3.86,2.8665,-0.3107,WEAK,0.22,14.2558,-11.5466,76225773.55,54.1674,SECONDARY_RESEARCH,,,
156,002926,华西证券,J 金融业,2026-07-07,8.38,0.5368,0.18,9.2568,8.22,8.35,8.62,9.25,1.487,0.1199,MEDIUM,0.29,6.5316,-9.6009,191852074.25,54.1081,SECONDARY_RESEARCH,,,
157,000959,首钢股份,C 制造业,2026-07-07,3.49,0.2744,0.12,11.5016,3.36,3.91,4.6,4.36,0.734,-2.637,WEAK,0.17,1.1438,-39.4614,177737398.25,54.006,SECONDARY_RESEARCH,,,
