quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
800,000626,远大控股,F 批发零售,2026-07-07,6.3,0.2264,0.004,0.0,6.79,7.89,7.9,7.71,-5.0381,-1.6039,NONE,0.25,-17.705,-29.77,63071936.15,38.5446,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
801,002820,桂发祥,C 制造业,2026-07-07,8.57,0.2184,0.02,2.0238,8.92,10.08,10.93,11.81,-2.4021,-1.4649,NONE,0.39,-11.652,-27.5726,51389316.15,38.5403,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
802,001965,招商公路,G 运输仓储,2026-07-07,9.32,0.4464,0.068,6.8807,9.61,9.58,9.67,10.16,-0.851,-0.0278,NONE,0.31,-5.0314,-3.7025,120546975.75,38.4962,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
803,002742,冀衡医药,C 制造业,2026-07-07,3.55,0.2248,0.032,8.8957,3.66,4.27,4.31,4.61,-3.3518,-1.5985,NONE,0.24,-12.3945,-33.1179,59400041.75,38.4935,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
804,002159,三特索道,N 公共环保,2026-07-07,12.72,0.3072,0.02,2.9126,13.27,15.22,16.5,15.98,-2.5308,-3.1907,NONE,0.65,-11.5425,-41.755,65813712.8,38.4698,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
805,002178,延华智能,I 信息技术,2026-07-07,4.23,0.3016,0.004,0.0,4.84,5.54,6.02,6.46,-5.3213,-2.6179,NONE,0.19,-24.681,-41.4913,65260814.55,38.4345,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
806,001333,光华股份,C 制造业,2026-07-07,20.13,0.3376,0.06,10.1806,20.02,22.9,24.1,23.3,-2.3778,-1.8888,NONE,0.82,-7.8172,-29.1697,45529901.3,38.2955,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
807,002188,中天服务,K 房地产,2026-07-07,4.84,0.3256,0.004,0.0,5.25,6.12,6.45,6.19,-3.6317,-1.8185,NONE,0.27,-16.7573,-37.5578,63081222.35,38.2928,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
808,002681,奋达科技,C 制造业,2026-07-07,4.4,0.4288,0.004,0.0,4.76,5.16,5.66,6.35,-3.4322,-1.0641,NONE,0.28,-20.1737,-26.6373,251568663.1,38.2928,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
809,002599,盛通股份,C 制造业,2026-07-07,5.33,0.2712,0.028,6.3872,5.51,6.38,7.14,7.88,-3.671,-2.1133,NONE,0.23,-16.3395,-35.0057,62051575.9,38.2245,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
810,002140,东华科技,E 建筑业,2026-07-07,8.93,0.2752,0.004,0.0,9.62,10.84,11.72,11.33,-2.3801,-2.5401,NONE,0.29,-11.1355,-37.8845,60419183.7,38.2125,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
811,003017,大洋生物,C 制造业,2026-07-07,22.45,0.2472,0.012,4.4672,25.15,28.7,30.33,30.93,-3.7327,-1.9858,NONE,1.44,-18.0083,-35.9789,61195931.15,38.1672,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
812,002200,交投生态,E 建筑业,2026-07-07,6.4,0.264,0.044,11.8881,6.37,7.15,7.21,7.41,-2.256,-0.8139,NONE,0.49,-7.3453,-24.7279,38197249.55,38.1375,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
813,000721,西安饮食,H 住宿餐饮,2026-07-07,5.46,0.2896,0.008,0.3676,5.83,6.72,7.7,8.47,-3.1393,-2.5638,NONE,0.27,-15.0848,-39.2201,60717608.65,38.1348,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
814,002748,世龙实业,C 制造业,2026-07-07,11.06,0.6416,0.396,22.4806,10.88,11.64,12.02,11.47,0.3042,-0.4504,WEAK,0.51,0.5427,-15.167,64423521.35,38.118,LOW_PRIORITY,,,
815,000636,风华高科,C 制造业,2026-07-07,61.26,0.9872,0.936,352.4372,68.96,45.08,33.01,23.86,1.8627,9.2602,NONE,6.41,7.5935,200.5042,9320614022.6,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
