date,close,pe_ttm,pb,pe_anchor,pb_anchor,price_to_neutral,neutral_value,ret,code
2019-03-11,11.25,153.31375072,5.30672494,126.35947449,4.907656845,1.1454149400282987,9.821768170513,0.08069164265129691,000831
2019-03-12,11.7,159.31820571,5.51456012,126.49196187,4.91704051,1.1885153189903825,9.844214721556042,0.040000000000000036,000831
2019-03-13,12.34,167.85787503,5.81014793,127.09335232000001,4.91704051,1.249255139106581,9.877886120864863,0.05470085470085473,000831
2019-03-14,12.98,176.39754435,6.10573574,127.69474277,4.91704051,1.3097151989817122,9.91055155356813,0.051863857374392364,000831
2019-03-15,13.27,180.26708201,6.23967397,127.790003565,4.917903225,1.3378293917342128,9.919052520440033,0.02234206471494593,000831
2019-03-18,13.76,186.80526633,6.46598339,127.88526436,4.91876594,1.3857137256939547,9.929900920270597,0.0369253956292388,000831
2019-03-19,13.71,186.13810466,6.44289059,127.99015206499999,4.92024914,1.3799908198723079,9.934848697956268,-0.003633720930232509,000831
2019-03-20,13.17,178.93275868,6.19348838,128.09503977,4.92173234,1.32582877406314,9.933409394668036,-0.03938730853391692,000831
2019-03-21,13.32,180.93424367,6.26276677,128.28871688499999,4.92173234,1.3396466962939344,9.942920052614705,0.011389521640091216,000831
2019-03-22,13.28,180.40051434,6.24429253,128.482394,4.92173234,1.334687828683651,9.949892187971422,-0.0030030030030030463,000831
2019-03-25,12.58,171.06025103,5.92099336,128.60591541,4.9240553899999995,1.2646778208001987,9.947197454637312,-0.052710843373493965,000831
2019-03-26,12.7,172.66143902,5.97641608,128.72943682,4.92637844,1.2756022328933934,9.956081662849662,0.009538950715421324,000831
2019-03-27,12.42,168.9253337,5.84709641,128.72943682,4.93028131,1.2475062658277256,9.955861818264518,-0.022047244094488105,000831
2019-03-28,12.47,169.59249536,5.87018921,128.72943682,4.93418418,1.2519377995298948,9.96055874715382,0.004025764895330131,000831
2019-03-29,12.9,175.33008568,6.06878727,128.745819125,4.93499601,1.29410408886434,9.96828625379013,0.034482758620689724,000831
2019-04-01,13.17,178.93275868,6.15755858,128.76220143,4.93580784,1.316666805268055,10.00253059263446,0.020930232558139528,000831
2019-04-02,13.75,186.671834,6.42388102,128.871101735,4.9404996699999995,1.372381747750454,10.019078162864215,0.04403948367501909,000831
2019-04-03,13.52,183.60289034,6.3182704,128.98000204,4.9451915,1.3486091881287592,10.025143028099532,-0.016727272727272813,000831
2019-04-04,13.3,180.66737901,6.21725154,129.33099113,4.9477422,1.32490352957287,10.038466728432471,-0.016272189349112343,000831
2019-04-08,13.54,183.869755,6.32745393,129.68198022,4.9502929,1.3462148588313947,10.057829856189251,0.018045112781954753,000831
2019-04-09,12.87,174.92978868,6.01980559,129.68198022,4.952434035,1.2804833984336752,10.050891730219197,-0.04948301329394389,000831
2019-04-10,12.44,169.19219836,5.82235964,129.68198022,4.95457517,1.238216688011304,10.046706784399625,-0.03341103341103335,000831
2019-04-11,12.36,168.1247397,5.78562551,129.689103995,4.95457517,1.2303708020822173,10.045752044085052,-0.006430868167202619,000831
2019-04-12,12.26,166.79041637,5.73970785,129.69622777,4.95457517,1.2205724324074112,10.044467394547684,-0.008090614886731351,000831
2019-04-15,11.91,117.0897219,5.57899603,129.69622777,4.95482548,1.0082298703305468,11.812782333155159,-0.028548123980424167,000831
2019-04-16,12.29,120.75178728,5.75348315,129.69622777,4.95507579,1.0397367231546915,11.820300010862942,0.031905961376994085,000831
2019-04-17,12.15,119.4026053,5.68919842,129.689103995,4.959170800000001,1.027723208043375,11.82224932249191,-0.011391375101708623,000831
2019-04-18,11.98,117.76431289,5.61113839,129.68198022,4.96326581,1.0132316731671724,11.823554589991017,-0.013991769547325061,000831
2019-04-19,12.09,118.82438445,5.66164782,129.68198022,4.96634514,1.0220354180751061,11.829335643543759,0.00918196994991649,000831
2019-04-22,12.11,119.01712473,5.67083135,129.68198022,4.96942447,1.0233760030264145,11.833382807675065,0.0016542597187758634,000831
2019-04-23,12.25,120.36630671,5.73511608,129.33099113,4.976598805,1.0356331783228712,11.82851250462827,0.011560693641618602,000831
2019-04-24,12.07,118.63164417,5.65246429,128.98000204,4.98377314,1.0213600488030314,11.817575999908422,-0.014693877551020362,000831
2019-04-25,11.71,115.16231907,5.4871607,128.871101735,4.98377314,0.9919097001406116,11.805510116838265,-0.029826014913007404,000831
2019-04-26,11.17,109.95833143,5.23920532,128.76220143,4.98377314,0.9474874158649946,11.789074781328376,-0.04611443210930832,000831
2019-04-29,10.58,104.27249309,4.96829111,128.745819125,4.99573037,0.8974749456513599,11.788629923614591,-0.052820053715308846,000831
2019-04-30,10.87,125.33039856,5.10145234,128.72943682,4.98377314,0.9982907798237837,10.888611033669719,0.027410207939508435,000831
2019-05-06,10.01,115.62885555,4.70656044,128.72943682,4.99573037,0.9199124651474571,10.881470117263223,-0.07911683532658687,000831
2019-05-07,10.2,117.77221971,4.793804,128.72943682,4.98377314,0.9380878256007626,10.87318236271513,0.018981018981018893,000831
2019-05-08,10.22,117.99783699,4.80298753,128.60591541,4.98377314,0.9403361831708157,10.868453413690983,0.0019607843137257053,000831
2019-05-09,10.56,121.83333073,4.95910758,128.482394,4.98377314,0.9713681980446506,10.871263874251927,0.03326810176125239,000831
2019-05-10,11.34,130.63240462,5.31726535,128.28871688499999,4.976598805,1.0430594960036612,10.871863056180063,0.07386363636363624,000831
2019-05-13,11.26,129.7299355,5.28053122,128.482394,4.98377314,1.0343272479741705,10.88630317150959,-0.007054673721340388,000831
2019-05-14,11.59,133.45262061,5.43205951,128.60591541,4.98377314,1.0634968495552295,10.898010656869472,0.02930728241563063,000831
2019-05-15,11.84,136.2728366,5.54685367,128.72943682,4.98377314,1.0854502809173467,10.907915551870012,0.021570319240724833,000831
2019-05-16,13.05,149.92268198,6.10245739,128.72943682,4.99573037,1.1927450401893802,10.941147990796058,0.10219594594594605,000831
2019-05-17,13.12,150.71234246,6.13459975,128.72943682,5.0076876,1.1975950096570045,10.955289471152367,0.005363984674329414,000831
2019-05-20,14.22,163.12129281,6.63969404,128.745819125,5.0100790449999995,1.2958075462281355,10.973851820350855,0.08384146341463428,000831
2019-05-21,15.67,179.47854555,7.30550015,128.76220143,5.01247049,1.4253159224828063,10.994053846465066,0.1019690576652601,000831
2019-05-22,15.77,180.60663194,7.35141781,128.871101735,5.0163656549999995,1.4331116826290162,11.004027244457482,0.0063816209317166805,000831
2019-05-23,16.38,187.48795896,7.63151556,128.98000204,5.02026082,1.4865097343154485,11.019100394618768,0.038681039949270746,000831
2019-05-24,14.72,168.76172479,6.86928235,129.33099113,5.027245375,1.3352922149583921,11.023804254305997,-0.1013431013431012,000831
2019-05-27,15.4,176.43271228,7.18152246,129.68198022,5.03422993,1.393129460623451,11.0542490380673,0.04619565217391308,000831
2019-05-28,15.56,178.23765051,7.25499072,129.68198022,5.034283125,1.4073739887561993,11.05605199777177,0.010389610389610393,000831
2019-05-29,17.14,196.06141557,7.98048979,129.68198022,5.03433632,1.5481032084406612,11.071613253269074,0.10154241645244211,000831
2019-05-30,16.27,186.24706392,7.58100613,129.689103995,5.03433632,1.470568584189773,11.063747842107034,-0.05075845974329063,000831
2019-05-31,16.16,185.00616889,7.5304967,129.69622777,5.03433632,1.4607306135053506,11.06295702341752,-0.006760909649661917,000831
2019-06-03,15.16,173.72530493,7.07132007,129.69622777,5.03757658,1.3712204637469902,11.05584433780536,-0.061881188118811936,000831
2019-06-04,14.64,167.85925567,6.83254822,129.69622777,5.04081684,1.3244936120760367,11.053280941878597,-0.03430079155672816,000831
2019-06-05,14.86,170.34104574,6.93356708,129.713081635,5.04081684,1.3439888570934304,11.056639288019761,0.015027322404371546,000831
2019-06-06,15.24,174.62777405,7.1080542,129.7299355,5.04081684,1.377721591323528,11.06174142582717,0.025572005383580176,000831
