strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
current_v31_baseline,2020-12-31,002444,巨星科技,REDUCE_25,MEDIUM,True,0,1.3814262595503453,21.369218802608238,29.52,0.10297070924570537,0.09375,-0.009220709245705366,9.220709245705367e-06
current_v31_baseline,2020-12-31,600809,山西汾酒,CORE_ONLY,MEDIUM,True,0,2.609713017146304,94.19043334841118,245.81,0.09729285197756929,0.03125,-0.06604285197756929,6.604285197756929e-05
current_v31_baseline,2021-01-29,002444,巨星科技,REDUCE_50,MEDIUM,True,0,1.516199553165013,21.369218802608238,32.4,0.10756591937741096,0.0625,-0.04506591937741096,4.506591937741096e-05
current_v31_baseline,2021-01-29,002415,海康威视,REDUCE_50,HIGH,True,0,1.6274162307056836,32.91106416996665,53.56,0.07499903988595388,0.0625,-0.012499039885953883,1.2499039885953883e-05
current_v31_baseline,2021-01-29,600809,山西汾酒,CORE_ONLY,MEDIUM,True,0,2.603130607681145,94.19043334841118,245.19,0.032585770059020074,0.03125,-0.0013357700590200736,1.3357700590200735e-06
current_v31_baseline,2021-03-31,600188,兖矿能源,BUY_FULL_MARGIN,LOW,True,0,0.0283407179930394,21.87665111915205,0.62,0.040342078239357794,0.125,0.08465792176064221,8.465792176064222e-05
current_v31_baseline,2021-03-31,600580,卧龙电驱,BUY_STAGED,MEDIUM,True,0,0.8266289749448263,10.064975039805883,8.32,0.05132156291736026,0.0625,0.011178437082639742,1.1178437082639742e-05
current_v31_baseline,2021-04-30,002444,巨星科技,BUY_STAGED,LOW,True,0,0.8072056431618707,45.60176246515464,36.81,0.06215978679326771,0.0625,0.00034021320673228994,3.4021320673228993e-07
current_v31_baseline,2021-04-30,002415,海康威视,CORE_ONLY,HIGH,True,0,1.8746007376106637,28.4753968826649,53.38,0.05452889663530542,0.03125,-0.02327889663530542,2.327889663530542e-05
current_v31_baseline,2021-04-30,000895,双汇发展,BUY_STAGED,HIGH,True,0,0.7603270038494467,36.49745419997579,27.75,0.012632088446791125,0.0625,0.049867911553208875,4.9867911553208874e-05
current_v31_baseline,2021-04-30,600188,兖矿能源,BUY_FULL_MARGIN,LOW,True,0,0.0276513651208637,18.08228989109601,0.5,0.10183696278060075,0.125,0.023163037219399246,2.3163037219399246e-05
current_v31_baseline,2021-04-30,600580,卧龙电驱,BUY_STAGED,MEDIUM,True,0,0.788122035007431,10.30297293987401,8.12,0.061621154497915394,0.0625,0.0008788455020846062,8.788455020846062e-07
current_v31_baseline,2021-05-31,002444,巨星科技,BUY_A_LEVEL,LOW,True,0,0.6854998208432512,45.60176246515464,31.26,0.04939625181954073,0.09375,0.04435374818045927,4.435374818045927e-05
current_v31_baseline,2021-05-31,000895,双汇发展,BUY_STAGED,HIGH,True,0,0.7674507883900181,36.49745419997579,28.01,0.0587112005506378,0.0625,0.0037887994493622026,3.7887994493622028e-06
