code,stock_name,balanced_exit_historical_profile,signal_count,avg_balanced_exit_net_return_60d,win_rate_balanced_exit_60d,avg_balanced_exit_max_drawdown_250d,source_signal_details,generated_at,rule
600009,上海机场,FAILED,362,-5.1156,3.3149,-8.1519,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600010,包钢股份,DEGRADED,151,4.8601,42.3841,-8.2365,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600011,华能国际,PASSED,241,1.5459,51.4523,-7.4429,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600018,上港集团,DEGRADED,172,0.2234,36.0465,-6.1382,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600019,宝钢股份,PASSED,100,8.1869,80.0,-8.3071,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600027,华电国际,FAILED,44,-3.5469,18.1818,-8.0839,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600104,上汽集团,DEGRADED,250,1.3221,44.8,-8.3556,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600111,北方稀土,FAILED,214,-2.7028,17.757,-9.1137,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600141,兴发集团,PASSED,294,9.1158,48.9796,-10.3631,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600188,兖矿能源,PASSED,92,5.7836,76.087,-8.1685,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
