date,nav,cash_weight,turnover,w_002179,w_002138,w_002241,w_002815,w_603019,w_600570
2025-04-17,1.1340723586267327,0.8622343526747563,0.0,0.035918978979764225,0.03691592315352501,0.02990860584324771,0.035022139348706745,0.0,0.0
2025-04-18,1.136260407580986,0.8605739841878286,0.0,0.03580572644633036,0.03753103751576763,0.03059500985512907,0.03549424199494437,0.0,0.0
2025-04-21,1.1392267435749681,0.858333208504517,0.0,0.03543988048370026,0.03848088770246884,0.031575432566254155,0.03617059074305979,0.0,0.0
2025-04-22,1.1378105673750558,0.859401533141616,0.0,0.035334306411397426,0.038207127047518316,0.03084142292182703,0.03621561047764115,0.0,0.0
2025-04-23,1.1388915025689976,0.8585858651339043,0.0,0.03476417739048066,0.03810100538900266,0.031675618325519135,0.03687333376109323,0.0,0.0
2025-04-24,1.1369036998806434,0.860087047064331,0.0,0.034631096663835965,0.03788769864505241,0.03095707424222548,0.0364370833845551,0.0,0.0
2025-04-25,1.1375989028099918,0.8595614355916611,0.0,0.03468919249508004,0.03797644606174332,0.031165642372905183,0.036607283478610385,0.0,0.0
2025-04-28,1.1365499959267162,0.860354713414565,0.0,0.03492394539341347,0.03805349566984901,0.030450596539329904,0.036217248982842606,0.0,0.0
2025-04-29,1.1381189235632936,0.8591686912342908,0.0,0.03463813227006024,0.037777337897233296,0.03086338456916733,0.037552454029248235,0.0,0.0
2025-04-30,1.1394378735956534,0.8581741652497104,0.0,0.034518905621065216,0.037971015073775795,0.03132732127504383,0.03800859278040474,0.0,0.0
2025-05-06,1.1428498273055459,0.8556121046386842,0.0,0.03438955175863647,0.03826143126142789,0.03257734555007834,0.03915956679117307,0.0,0.0
2025-05-07,1.1436558163232624,0.8550091138175637,0.0,0.03550411035335133,0.03829012084408242,0.0320263962176899,0.039170258767312664,0.0,0.0
2025-05-08,1.145426845432216,0.8536871210294339,0.0,0.0357291000632521,0.03828648585233478,0.032805294363628515,0.03949199869135068,0.0,0.0
2025-05-09,1.1419991829114193,0.8562494270214395,0.0,0.03461693891982453,0.03774651511602816,0.03239010895908055,0.038997009983627276,0.0,0.0
2025-05-12,1.1469183024661587,0.8525769829675443,0.0,0.035647697642758214,0.03819507600692021,0.03410141955987891,0.03947882382289848,0.0,0.0
2025-05-13,1.144751888536342,0.8541904632951491,0.0,0.03463871681138213,0.03815615730438434,0.03372889664943226,0.03928576593965209,0.0,0.0
2025-05-14,1.1433356830884203,0.8552485158037646,0.0,0.03426102671842475,0.03792507070977385,0.033499061311409416,0.03906632545662737,0.0,0.0
2025-05-15,1.1396517454765118,0.8580131166455603,0.0,0.03364214484019681,0.037181992324892305,0.032623348508425964,0.038539397680924584,0.0,0.0
2025-05-16,1.1401594793791194,0.8576310276868824,0.0,0.03381168661457464,0.03702587222506148,0.03254829392028524,0.03898311955319632,0.0,0.0
2025-05-19,1.140495878390526,0.8573780620818925,0.0,0.03403010352503685,0.03662429201264878,0.03226640320031615,0.03970113918010578,0.0,0.0
2025-05-20,1.140307561160533,0.8575196546374515,0.0,0.03411479457844199,0.03643497855260168,0.03245328872768328,0.039477283503821556,0.0,0.0
2025-05-21,1.1397328177361228,0.8579520838657194,0.0,0.03422868916823462,0.03667673518707955,0.03210635741179817,0.039036134367168226,0.0,0.0
2025-05-22,1.1392386620662807,0.858324228790933,0.0,0.03419077265161688,0.0367904166293691,0.031756829437355895,0.038937752490725196,0.0,0.0
2025-05-23,1.1373945298518864,0.8597158860559935,0.0,0.03384984023706562,0.03676612641256919,0.03139876969406184,0.03826937760030988,0.0,0.0
2025-05-26,1.1380502336561655,0.8592205485388833,0.0,0.03368948747150604,0.036870781932885316,0.031471637336400744,0.03874754472032465,0.0,0.0
2025-05-27,1.1359615031751091,0.8608004261532803,0.0,0.03301061286768418,0.036658421407823584,0.031058688978418486,0.03847185059279342,0.0,0.0
