code,stock_name,exchange,board,security_type,listing_status,listing_date,is_st,is_suspended,latest_trade_date,latest_close,avg_turnover_20d,industry,industry_source,industry_update_date,universe_source,exclusion_reason
001313,粤海饲料,SZSE,主板,A_SHARE,listed,2022-02-16,False,False,2026-07-10,8.1,146088889.5,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001314,亿道信息,SZSE,主板,A_SHARE,listed,2023-02-14,False,False,2026-07-10,61.24,325322436.3,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001316,润贝航科,SZSE,主板,A_SHARE,listed,2022-06-24,False,False,2026-07-10,31.25,108644833.15,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001317,三羊马,SZSE,主板,A_SHARE,listed,2021-11-30,False,False,2026-07-10,44.79,240469724.6,G58多式联运和运输代理业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001318,阳光乳业,SZSE,主板,A_SHARE,listed,2022-05-20,False,False,2026-07-10,10.18,21558100.2,C14食品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001319,铭科精技,SZSE,主板,A_SHARE,listed,2022-05-12,False,False,2026-07-10,20.97,63179067.55,C36汽车制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001322,箭牌家居,SZSE,主板,A_SHARE,listed,2022-10-26,False,False,2026-07-10,6.19,41906263.1,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001323,慕思股份,SZSE,主板,A_SHARE,listed,2022-06-23,False,False,2026-07-10,16.24,24780042.6,C21家具制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001324,长青科技,SZSE,主板,A_SHARE,listed,2023-05-22,False,,2026-07-10,19.44,64832318.05,C37铁路、船舶、航空航天和其他运输设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001325,元创股份,SZSE,主板,A_SHARE,listed,2025-12-18,False,,2026-07-10,35.18,40491989.2,C29橡胶和塑料制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001326,联域股份,SZSE,主板,A_SHARE,listed,2023-11-09,False,,2026-07-10,53.81,95128690.05,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001328,登康口腔,SZSE,主板,A_SHARE,listed,2023-04-10,False,,2026-07-10,26.43,47543562.25,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001330,博纳影业,SZSE,主板,A_SHARE,listed,2022-08-18,False,False,2026-07-10,5.32,531664208.2,R87广播、电视、电影和录音制作业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001331,胜通能源,SZSE,主板,A_SHARE,listed,2022-09-08,False,False,2026-07-10,61.71,822911320.25,D45燃气生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001332,锡装股份,SZSE,主板,A_SHARE,listed,2022-09-20,False,False,2026-07-10,31.89,118799938.25,C33金属制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001333,光华股份,SZSE,主板,A_SHARE,listed,2022-12-08,False,False,2026-07-10,19.0,41674689.35,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001335,信凯科技,SZSE,主板,A_SHARE,listed,2025-04-15,False,,2026-07-10,32.76,87140297.4,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001336,楚环科技,SZSE,主板,A_SHARE,listed,2022-07-25,False,False,2026-07-10,21.95,41379721.4,C35专用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001337,四川黄金,SZSE,主板,A_SHARE,listed,2023-03-03,False,False,2026-07-10,37.88,509479386.55,B09有色金属矿采选业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001338,永顺泰,SZSE,主板,A_SHARE,listed,2022-11-16,False,False,2026-07-10,8.59,54332362.95,C15酒、饮料和精制茶制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001339,智微智能,SZSE,主板,A_SHARE,listed,2022-08-15,False,False,2026-07-10,97.03,1362971399.15,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
