quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
751,002116,中国海诚,E48土木工程建筑业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.78,0.1064,0.016,2.2624,7.45,8.85,9.79,10.17,-6.576,-3.2108,NONE,0.22,-24.3529,-38.4162,23347857.45,39.8328,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
752,002637,赞宇科技,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.67,0.396,0.256,7.5605,11.17,11.81,12.38,11.57,-2.8432,-1.0322,NONE,0.56,-8.7697,-16.903,221558891.7,39.7658,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
753,002997,瑞鹄模具,C35专用设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,28.85,0.4552,0.044,9.0737,29.42,30.77,32.35,35.42,1.4148,-0.5442,NONE,1.3,6.7011,-12.5255,147737616.0,39.7549,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
754,002933,新兴装备,C37铁路、船舶、航空航天和其他运输设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,26.5,0.2368,0.036,3.5156,27.26,29.46,32.13,33.55,-2.175,-1.7593,NONE,1.28,-6.1241,-24.3491,54723645.7,39.6653,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
755,002921,联诚精密,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,26.94,0.972,0.86,91.3352,26.11,27.21,25.5,20.51,3.2757,0.2899,WEAK,2.29,14.7098,-7.597,240867740.95,39.6652,HARD_REJECT,price_too_high,,price_too_high
756,002345,潮宏基,C24文教、工美、体育和娱乐用品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.06,0.8048,0.152,17.5234,9.73,9.85,10.85,12.47,3.9464,-0.3573,WEAK,0.54,12.1051,-8.7154,257548378.6,39.6321,HARD_REJECT,price_too_high,,price_too_high
757,002173,创新医疗,Q84卫生,baostock.query_stock_industry,2026-07-06,2026-07-10,17.57,0.8384,0.192,26.0402,17.49,20.75,24.67,22.8,0.399,-2.8641,WEAK,1.48,2.2248,-34.9871,693939170.05,39.6238,HARD_REJECT,price_too_high,,price_too_high
758,002107,沃华医药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.27,0.5288,0.268,11.9643,6.05,6.7,6.87,6.69,1.0525,-1.2507,WEAK,0.33,4.7805,-16.372,84272129.8,39.5768,LOW_PRIORITY,,,
759,002200,交投生态,E48土木工程建筑业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.35,0.2568,0.048,11.014,6.37,7.1,7.18,7.39,-0.3675,-0.9926,NONE,0.47,1.2739,-19.6875,38793546.1,39.5592,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
760,002820,桂发祥,C14食品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,8.65,0.2272,0.032,2.9762,8.78,9.99,10.84,11.77,-2.3836,-1.4504,NONE,0.39,-8.3001,-20.9396,50116280.5,39.4404,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
761,002659,凯文教育,P83教育,baostock.query_stock_industry,2026-07-06,2026-07-10,3.96,0.264,0.052,6.4516,3.92,4.55,5.24,5.45,-2.2682,-2.3602,NONE,0.19,-4.4894,-27.9859,53970275.4,39.4096,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
762,002159,三特索道,N78公共设施管理业,baostock.query_stock_industry,2026-07-06,2026-07-10,12.64,0.2976,0.02,2.2654,13.1,14.95,16.43,15.95,-2.1293,-2.9621,NONE,0.55,-7.6118,-33.2626,65963876.15,39.392,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
763,002437,誉衡药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.13,0.8464,0.252,28.8066,2.77,3.1,3.25,3.28,2.5969,-1.7382,WEAK,0.19,16.3583,-18.2079,268259145.95,39.3153,HARD_REJECT,price_too_high,,price_too_high
764,000685,中山公用,D46水的生产和供应业,baostock.query_stock_industry,2026-07-06,2026-07-10,11.22,0.8832,0.416,27.6451,11.22,11.39,11.56,11.3,1.8386,0.2391,WEAK,0.39,8.1525,-2.7112,230339954.65,39.2726,HARD_REJECT,price_too_high,,price_too_high
765,000721,西安饮食,H62餐饮业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.6,0.2912,0.028,2.9412,5.75,6.61,7.61,8.43,-2.5737,-2.7303,NONE,0.27,-6.8758,-32.6389,61755180.1,39.2532,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
766,002599,盛通股份,C23印刷和记录媒介复制业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.3,0.2648,0.036,5.7884,5.4,6.29,7.07,7.84,-3.3456,-2.2879,NONE,0.23,-10.0888,-29.6806,61690021.8,39.2234,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
767,002845,同兴达,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,15.56,0.5176,0.828,19.4167,15.63,15.22,14.95,14.82,-0.1788,0.8726,NONE,1.18,0.5216,7.4282,384376374.75,39.1475,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
768,000722,湖南发展,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,2026-07-10,11.0,0.4792,0.012,2.4209,12.64,13.89,13.64,13.13,-6.537,-1.0821,NONE,0.6,-24.2261,-21.727,291406421.0,39.1276,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
769,001210,金房能源,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,2026-07-10,20.34,0.4341,0.532,48.0349,22.37,24.65,23.47,19.75,-4.4695,-0.3127,NONE,1.43,-19.5256,-7.2991,198921239.15,39.1122,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
770,002576,通达动力,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,13.92,0.3368,0.012,1.016,14.88,17.15,17.77,17.72,-3.245,-2.0521,NONE,0.64,-13.2096,-29.8357,64697540.75,39.0937,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
771,002350,北京科锐,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,14.74,0.9736,0.868,119.0193,14.27,14.92,13.4,10.44,-0.1015,-0.0592,WEAK,0.76,0.8374,-2.0015,250784369.4,39.0417,HARD_REJECT,price_too_high,,price_too_high
772,002318,久立特材,C33金属制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,18.81,0.4576,0.004,0.0,23.09,25.7,29.0,26.61,-1.4472,-3.1308,NONE,1.12,-15.9273,-42.149,308273091.65,39.0116,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
773,000521,长虹美菱,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.48,0.3816,0.048,9.8196,5.61,5.63,6.01,6.58,0.1606,-0.0592,NONE,0.37,-7.3143,-8.6296,155188968.3,38.9808,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
774,002905,金逸影视,R87广播、电视、电影和录音制作业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.47,0.3456,0.08,10.6667,7.16,8.33,9.66,10.15,-1.3093,-2.2951,NONE,0.35,0.4602,-27.344,41397167.6,38.9493,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
775,003023,彩虹集团,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,19.08,0.2912,0.008,1.2202,20.65,25.85,24.75,24.0,-4.3403,-1.6588,NONE,1.0,-18.7135,-30.4803,72199351.6,38.9432,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
776,002476,新叶股份,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.52,0.3008,0.012,0.2217,4.99,5.44,5.92,5.8,-2.6436,-2.2004,NONE,0.23,-11.6283,-30.9378,61631744.5,38.9398,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
777,002188,中天服务,K70房地产业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.86,0.3304,0.016,1.8868,5.13,6.04,6.41,6.19,-3.7769,-2.1174,NONE,0.27,-13.4266,-29.5493,61884789.75,38.9158,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
