date,nav,cash_weight,turnover,w_600089
2021-07-21,1.298243516127645,0.7032542746828457,0.0,0.29674572531715426
2021-07-22,1.2925149181524542,0.7063711911357338,0.0,0.2936288088642663
2021-07-23,1.2900086565383082,0.7077435470441296,0.0,0.2922564529558705
2021-07-26,1.280699684828623,0.7128878948839805,0.0,0.2871121051160194
2021-07-27,1.2649460403968478,0.7217662043589014,0.0,0.2782337956410986
2021-07-28,1.2670942646375445,0.7205425261373266,0.0,0.27945747386267344
2021-07-29,1.2796255727082748,0.7134862898712924,0.0,0.2865137101287077
2021-07-30,1.281009924212717,0.75,0.037311347121297134,0.25
2021-08-02,1.2841252207210165,0.7481804949053856,0.0,0.2518195050946143
2021-08-03,1.2732216829419687,0.7545877171519452,0.0,0.24541228284805483
2021-08-04,1.3046861776757928,0.7363896848137536,0.0,0.26361031518624645
2021-08-05,1.3183934823123102,0.7287334593572778,0.0,0.2712665406427222
2021-08-06,1.3155897154548406,0.7302865261662324,0.0,0.2697134738337676
2021-08-09,1.3118513596448813,0.7323676086440275,0.0,0.2676323913559725
2021-08-10,1.306866885231602,0.7351609058402859,0.0,0.264839094159714
2021-08-11,1.3143435968515207,0.7309789049537805,0.0,0.26902109504621957
2021-08-12,1.3106052410415614,0.7330639410506298,0.0,0.2669360589493702
2021-08-13,1.3249356049797387,0.7251351986832824,0.0,0.2748648013167177
2021-08-16,1.3065553555807723,0.7353361945636623,0.0,0.2646638054363377
2021-08-17,1.296586406754214,0.7409899086977414,0.0,0.2590100913022586
2021-08-18,1.2968979364050441,0.7408119144847465,0.0,0.2591880855152535
2021-08-19,1.309047592787412,0.7339362208472155,0.0,0.2660637791527845
2021-08-20,1.3112283003432215,0.7327156094084104,0.0,0.2672843905915896
2021-08-23,1.324001016027249,0.7256470588235293,0.0,0.27435294117647074
2021-08-24,1.3252471346305688,0.7249647390691114,0.0,0.27503526093088865
2021-08-25,1.361696103777672,0.7055593685655456,0.0,0.2944406314344544
2021-08-26,1.3638768113334816,0.7044312471448149,0.0,0.2955687528551851
2021-08-27,1.3950297764164756,0.6887003126395712,0.0,0.31129968736042885
2021-08-30,1.4327248641668986,0.6705805609915199,0.0,0.3294194390084802
2021-08-31,1.4799280705078894,0.75,0.10087350031572312,0.25
2021-09-01,1.4799280705078894,0.75,0.0,0.25
2021-09-02,1.5167709108954583,0.731782265144864,0.0,0.26821773485513606
2021-09-03,1.5378556689485854,0.7217491701544234,0.0,0.27825082984557653
2021-09-06,1.530309545013782,0.7253081943437274,0.0,0.27469180565627266
2021-09-07,1.5447359584185527,0.7185344827586206,0.0,0.2814655172413793
2021-09-08,1.5274242623328276,0.7266782911944203,0.0,0.2733217088055797
2021-09-09,1.5223195314357547,0.7291150313456773,0.0,0.2708849686543227
2021-09-10,1.5294217657273343,0.7257292120156726,0.0,0.2742707879843273
2021-09-13,1.5065614491013126,0.7367413081909252,0.0,0.2632586918090748
2021-09-14,1.4996811596313449,0.7401213556311974,0.0,0.25987864436880265
2021-09-15,1.4996811596313449,0.7401213556311974,0.0,0.25987864436880265
2021-09-16,1.4779305671133824,0.7510136657155729,0.0,0.24898633428442704
2021-09-17,1.47881834639983,0.7505628095452499,0.0,0.24943719045475007
2021-09-22,1.5132197937496685,0.7334995599882664,0.0,0.26650044001173356
2021-09-23,1.5081150628525957,0.7359823399558499,0.0,0.26401766004415006
2021-09-24,1.4879180840859163,0.7459725536992841,0.0,0.25402744630071594
2021-09-27,1.4666113812111776,0.7568099273607749,0.0,0.24319007263922512
2021-09-28,1.4701624983569674,0.7549818840579711,0.0,0.24501811594202894
2021-09-29,1.4650577674598946,0.7576124829571278,0.0,0.24238751704287223
2021-09-30,1.4757111188972638,0.7521431794254776,0.0,0.24785682057452244
2021-10-08,1.4395341129745305,0.77104532839963,0.0,0.22895467160036995
2021-10-11,1.4417535611906491,0.7698583743842365,0.0,0.23014162561576346
2021-10-12,1.4295465960019968,0.776432231020028,0.0,0.22356776897997196
2021-10-13,1.4426413404770966,0.7693846153846154,0.0,0.23061538461538453
2021-10-14,1.4417535611906491,0.7698583743842365,0.0,0.23014162561576346
2021-10-15,1.4559580297738082,0.7623475609756099,0.0,0.23765243902439018
2021-10-18,1.4621724847789401,0.7591074681238617,0.0,0.2408925318761384
2021-10-19,1.4579555331683147,0.761303090272492,0.0,0.23869690972750796
2021-10-20,1.4792622360430532,0.750337584396099,0.0,0.24966241560390098
2021-10-21,1.476155008540487,0.7519170049616599,0.0,0.24808299503834008
2021-10-22,1.4719380569298617,0.7540711700844391,0.0,0.2459288299155609
2021-10-25,1.4828133531888428,0.7485406376290975,0.0,0.25145936237090255
2021-10-26,1.489027808193975,0.7454166045610375,0.0,0.2545833954389625
2021-10-27,1.5138856282145035,0.7331769535258761,0.0,0.26682304647412397
2021-10-28,1.4990153251665088,0.7404501036422861,0.0,0.2595498963577139
