,TRUE_BUYHOLD_single_600845
2019-07-01,3.5371097560975615
2019-07-02,3.5371097560975615
2019-07-03,3.4883780487804876
2019-07-04,3.431524390243902
2019-07-05,3.5046219512195123
2019-07-08,3.386853658536585
2019-07-09,3.3990365853658537
2019-07-10,3.40309756097561
2019-07-11,3.3462439024390243
2019-07-12,3.5086829268292687
2019-07-15,3.5655365853658534
2019-07-16,3.4883780487804876
2019-07-17,3.439646341463415
2019-07-18,3.4193414634146344
2019-07-19,3.3056341463414634
2019-07-22,3.313756097560976
2019-07-23,3.3381219512195126
2019-07-24,3.5330487804878046
2019-07-25,3.626451219512195
2019-07-26,3.6426951219512196
2019-07-29,3.646756097560976
2019-07-30,3.75640243902439
2019-07-31,3.752341463414634
2019-08-01,3.691426829268293
2019-08-02,3.805134146341463
2019-08-05,3.606146341463415
2019-08-06,3.6345731707317075
2019-08-07,3.5330487804878046
2019-08-08,3.5939634146341466
2019-08-09,3.5614756097560973
2019-08-12,3.630512195121951
2019-08-13,3.464012195121951
2019-08-14,3.671121951219512
2019-08-15,3.9310243902439024
2019-08-16,3.8619878048780487
2019-08-19,4.065036585365854
2019-08-20,3.955390243902439
2019-08-21,3.9838170731707323
2019-08-22,3.9188414634146342
2019-08-23,3.951329268292683
2019-08-26,3.886353658536586
2019-08-27,3.987878048780488
2019-08-28,4.1990487804878045
2019-08-29,4.337121951219513
2019-08-30,4.1990487804878045
2019-09-02,4.556414634146342
2019-09-03,4.68230487804878
2019-09-04,4.698548780487805
2019-09-05,4.824439024390244
2019-09-06,4.690426829268293
2019-09-09,4.824439024390244
2019-09-10,4.722914634146342
2019-09-11,4.698548780487805
2019-09-12,4.641695121951219
2019-09-16,4.637634146341464
2019-09-17,4.511743902439024
2019-09-18,4.605146341463414
2019-09-19,4.678243902439024
2019-09-20,4.653878048780489
2019-09-23,4.653878048780489
2019-09-24,4.694487804878049
2019-09-25,4.759463414634147
2019-09-26,4.544231707317073
2019-09-27,4.576719512195122
2019-09-30,4.633573170731708
2019-10-08,4.373670731707317
2019-10-09,4.503621951219512
2019-10-10,5.084341463414634
2019-10-11,4.930024390243903
2019-10-14,4.877231707317073
2019-10-15,4.747280487804878
2019-10-16,4.751341463414634
2019-10-17,4.755402439024391
2019-10-18,4.592963414634147
2019-10-21,4.532048780487806
2019-10-22,4.70260975609756
2019-10-23,4.576719512195122
2019-10-24,4.503621951219512
2019-10-25,3.9229024390243903
2019-10-28,4.247780487804879
2019-10-29,4.01630487804878
2019-10-30,3.9716341463414633
2019-10-31,3.9432073170731714
2019-11-01,3.9229024390243903
2019-11-04,4.081280487804879
2019-11-05,4.093463414634146
2019-11-06,4.020365853658537
2019-11-07,4.130012195121951
2019-11-08,4.207170731707317
2019-11-11,4.243719512195122
2019-11-12,4.272146341463414
