code,stock_name,normalized_industry,previous_tier,current_tier,previous_quant_score,current_quant_score,change_type,detail
601186,中国铁建,UNRESOLVED,TIER_C,TIER_C,61.4518,61.4518,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601390,中国中铁,UNRESOLVED,TIER_C,TIER_C,63.7911,63.7911,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600048,保利发展,地产,TIER_C,TIER_C,64.7095,64.7095,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000002,万科A,地产,TIER_C,TIER_C,64.3728,64.3728,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
001979,招商蛇口,地产,TIER_C,TIER_C,62.5646,62.5646,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601919,中远海控,航运,REJECTED,REJECTED,61.8261,61.8261,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600018,上港集团,航运,TIER_C,TIER_C,79.7381,79.7381,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600029,南方航空,机场航空,TIER_C,TIER_C,60.5047,60.5047,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601111,中国国航,机场航空,REJECTED,REJECTED,59.7587,59.7587,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600009,上海机场,机场航空,REJECTED,REJECTED,71.4915,71.4915,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
601888,中国中免,UNRESOLVED,TIER_C,TIER_C,64.5479,64.5479,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002352,顺丰控股,物流,REJECTED,REJECTED,83.1837,83.1837,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600406,国电南瑞,电力设备,REJECTED,REJECTED,63.0395,63.0395,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300124,汇川技术,电力设备,TIER_C,TIER_C,57.2577,57.2577,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
601877,正泰电器,电力设备,TIER_C,TIER_C,57.8787,57.8787,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002202,金风科技,电力设备,REJECTED,REJECTED,37.1714,37.1714,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
